ref_compo,aero,desc,lifespan,taux_usure_actuel,cout_composant
TRA19-098,B737_0608,Train d'atterrissage principal gauche,11824,19.907600000000002,3935
TRA21-272,B757_2709,Train d'atterrissage avant,12690,14.733499999999996,8570
SYS36-207,B737_3698,Système de divertissement en vol,12388,17.1862,2328
CAM38-168,B737_1878,Caméra de surveillance externe,14221,25.46415,2366
CAP39-514,None_5883,Capteurs de vitesse du vent,14528,25.757200000000026,7998
EQU23-177,E170_2490,Équipement de navigation par satellite (GPS),12933,15.09295,4446
GOU3-106,B757_0500,Gouvernail de direction,9198,20.25770000000001,1917
AIL5-164,A320_6364,Aileron gauche,12755,18.628250000000005,4038
SYS2-283,A320_2772,Système hydraulique principal,13846,23.3129,2992
POR34-500,B757_2283,Porte cargo,10630,14.054499999999999,2438
AIL6-443,E170_2173,Aileron droit,12953,23.605949999999986,4898
DIS32-324,A321_2867,Dispositif d'atterrissage d'urgence (comme les toboggans),12153,22.26594999999999,9872
ORD12-437,A320_6028,Ordinateur de bord,11535,19.115250000000003,7221
SYS7-140,A330_2342,Système de gestion de carburant,13036,15.6214,9555
SYS35-282,A321_0467,Système d'annonce publique,9557,18.01055,9975
SYS9-220,CRJ900_5333,Système anti-givre,14376,22.76240000000002,4922
SYS33-396,E170_2532,Système d'éclairage de cabine,13325,21.813750000000013,9724
SIE27-678,A380_4355,Siège copilote,48698,62.9527,6326
EQU23-076,B777_1042,Équipement de navigation par satellite (GPS),13413,20.844949999999987,8039
SIE26-671,A380_3051,Siège pilote,8073,11.62395,8199
RAD11-541,E175_5083,Radar météorologique,13633,18.107950000000002,3201
GOU3-361,B757_2631,Gouvernail de direction,12074,17.095100000000002,9505
SYS10-194,CRJ900_5255,Système d'alerte de proximité au sol (GPWS),10449,18.876349999999988,3975
ANT25-528,A321_3449,Antenne radar,11913,20.73994999999999,1169
GEN13-153,E170_0564,Générateur électrique,8986,13.383900000000011,9166
EQU23-660,CRJ700_4473,Équipement de navigation par satellite (GPS),10477,59.03855000000007,9437
SYS37-118,CRJ900_0468,Système d'éclairage de piste,14914,26.2411,4349
SIE26-347,A350_3017,Siège pilote,13623,25.36644999999998,7319
DET29-505,A380_2873,Détecteurs de fumée en cabine,8664,12.693599999999995,1642
RAD11-052,CRJ900_6725,Radar météorologique,8261,14.64015,2800
VOL18-631,E170_2173,Volet de bord de fuite droit,8456,18.434399999999993,7581
BOI22-484,CRJ700_2827,Boîte noire (enregistreur de vol),12988,14.9362,8906
DIS15-555,CRJ700_2204,Dispositifs de levage (flaps),12354,23.867099999999986,1528
EQU23-456,CRJ900_1184,Équipement de navigation par satellite (GPS),12374,23.1401,8326
RAD11-045,CRJ700_6562,Radar météorologique,13499,16.193850000000005,6998
EMP4-497,E175_3294,Empennage horizontal,14097,19.71155000000001,2941
SYS14-258,A350_5401,Système d'extinction d'incendie du moteur,11427,21.371050000000007,6585
SYS33-079,B767_5851,Système d'éclairage de cabine,12444,14.820599999999999,6369
ANT25-228,A340_1943,Antenne radar,10202,16.972299999999997,8503
SYS37-623,A320_4466,Système d'éclairage de piste,8823,13.176450000000004,9543
SYS35-044,CRJ900_5333,Système d'annonce publique,14675,17.396250000000002,5293
SYS37-017,B767_2723,Système d'éclairage de piste,9678,16.6897,7197
TRA19-067,A340_3082,Train d'atterrissage principal gauche,12451,19.718650000000004,5999
ECL30-008,B757_1013,Éclairage d'urgence,9988,16.176199999999998,8395
POR34-359,B767_0601,Porte cargo,14124,23.662599999999998,9582
AUT8-508,B777_2343,Autopilote,11814,13.9261,6033
EQU23-444,A350_1948,Équipement de navigation par satellite (GPS),9123,19.091450000000002,7198
GOU3-444,A330_1563,Gouvernail de direction,8273,12.193950000000001,1392
DET29-348,CRJ700_2827,Détecteurs de fumée en cabine,11501,22.15615000000002,2689
SYS7-054,E175_0099,Système de gestion de carburant,9920,20.267999999999986,2538
SPO16-599,E175_4832,Spoilers,8827,10.26105,9653
SIE26-615,A340_2275,Siège pilote,11134,20.404099999999982,3237
SYS36-365,A320_2211,Système de divertissement en vol,9437,18.51255,5608
EQU23-265,CRJ900_5158,Équipement de navigation par satellite (GPS),9288,18.841200000000008,7760
SPO16-434,B737_5678,Spoilers,12050,19.54749999999999,8966
SYS7-288,A350_5575,Système de gestion de carburant,9002,16.13230000000001,6636
GEN13-342,E170_5403,Générateur électrique,11843,21.65945,2462
AIL6-365,B737_3698,Aileron droit,10723,16.121449999999996,4228
SYS14-237,A320_6052,Système d'extinction d'incendie du moteur,13245,21.68175,6133
SYS9-408,B767_3223,Système anti-givre,10864,16.813599999999997,6411
ECL30-515,A330_2342,Éclairage d'urgence,12385,21.162750000000013,7653
BOI22-027,CRJ700_2805,Boîte noire (enregistreur de vol),14307,20.05305000000001,6944
SYS28-532,A320_3073,Systèmes d'oxygène d'urgence pour les passagers,10071,12.761650000000001,7061
CAM38-588,CRJ900_3190,Caméra de surveillance externe,10193,13.76195,1344
SYS33-231,B737_4082,Système d'éclairage de cabine,11342,18.5233,7317
TRA19-290,B757_4876,Train d'atterrissage principal gauche,10717,21.44455,2537
SYS24-020,A320_6954,Système de communication radio,9550,18.642499999999988,7841
POR34-022,None_6608,Porte cargo,8899,12.223850000000004,8910
SYS31-165,B777_3467,Système de conditionnement d'air,11829,15.71335,5297
AIL6-463,CRJ700_4473,Aileron droit,10608,14.149200000000004,5529
GEN13-533,B757_1659,Générateur électrique,8633,19.46795000000001,3438
ANT25-521,B767_6463,Antenne radar,12393,20.05195,4814
SYS33-375,B747_1559,Système d'éclairage de cabine,14031,16.19565,5403
GOU3-255,E175_3294,Gouvernail de direction,11793,15.571950000000001,3991
AIL5-357,B777_3285,Aileron gauche,10135,17.25525,6163
BOI22-057,A321_6216,Boîte noire (enregistreur de vol),9434,14.969100000000005,7931
ORD12-352,B757_2283,Ordinateur de bord,13597,19.97655000000001,7302
SYS35-369,B777_3285,Système d'annonce publique,14162,18.686300000000006,9974
SYS35-698,B767_2187,Système d'annonce publique,13583,22.49045,1803
SYS35-137,B767_2187,Système d'annonce publique,14162,17.446300000000004,7877
ORD12-596,A320_2211,Ordinateur de bord,12035,17.320249999999998,8149
AIL5-331,B767_2487,Aileron gauche,14670,17.950499999999998,7143
SYS9-138,E175_0440,Système anti-givre,11721,22.03915,1565
AIL6-598,A321_0467,Aileron droit,10787,17.03505,4201
SYS33-576,B747_1933,Système d'éclairage de cabine,14203,18.63345,8058
TRA21-200,CRJ700_1377,Train d'atterrissage avant,13235,15.470249999999997,5009
SYS24-388,A320_4603,Système de communication radio,11052,20.51979999999999,9903
SYS35-260,E175_0964,Système d'annonce publique,10635,20.18024999999999,2504
ECL30-610,CRJ700_6475,Éclairage d'urgence,11448,16.885199999999998,3914
CAP39-389,E175_5323,Capteurs de vitesse du vent,13047,21.78404999999998,2971
BOI22-221,CRJ900_0428,Boîte noire (enregistreur de vol),9010,13.1415,9099
SYS33-544,E175_3294,Système d'éclairage de cabine,14036,18.7114,5303
SYS14-002,E170_4298,Système d'extinction d'incendie du moteur,9669,11.549349999999999,1333
SYS37-175,CRJ700_5389,Système d'éclairage de piste,13729,15.928350000000005,3920
SIE26-570,E175_0099,Siège pilote,14559,19.24285,3867
SIE26-584,B767_3156,Siège pilote,9839,18.89484999999998,8738
TRA21-120,A350_3187,Train d'atterrissage avant,9343,11.394450000000003,2484
ORD12-297,E175_0583,Ordinateur de bord,9615,20.75725,3625
RAD11-659,CRJ900_5773,Radar météorologique,8004,10.3246,3215
TRA20-643,B737_5252,Train d'atterrissage principal droit,13878,19.4097,8708
CAP39-001,A321_2784,Capteurs de vitesse du vent,11677,18.858549999999994,9056
TRA19-292,A320_4603,Train d'atterrissage principal gauche,11464,16.2936,1870
SYS24-140,B747_0910,Système de communication radio,9626,18.269899999999993,1687
SIE26-397,E175_6535,Siège pilote,9482,20.1943,2267
ECL30-224,E175_5780,Éclairage d'urgence,9900,15.634999999999994,2282
CAP39-442,CRJ700_2827,Capteurs de vitesse du vent,9288,10.991200000000003,4526
CAM38-435,B747_0910,Caméra de surveillance externe,11268,15.2582,3044
AIL5-267,E170_5474,Aileron gauche,13370,23.435500000000026,4824
TRA20-667,None_5828,Train d'atterrissage principal droit,14788,22.8062,7295
SYS37-364,CRJ900_5737,Système d'éclairage de piste,14830,21.304499999999994,8460
CAP39-284,None_0075,Capteurs de vitesse du vent,10380,12.327,7669
SYS35-599,B747_2822,Système d'annonce publique,9687,13.680049999999996,4720
SPO16-065,B767_6273,Spoilers,14070,19.78049999999999,8183
SYS31-398,E175_6229,Système de conditionnement d'air,11721,22.52915,2468
AUT8-210,A350_1948,Autopilote,12426,17.7799,5524
SYS37-268,A320_6028,Système d'éclairage de piste,10483,17.555449999999997,4298
GEN13-409,B767_3156,Générateur électrique,14642,25.528299999999987,2822
AIL6-047,B757_1013,Aileron droit,9774,19.64010000000001,8877
AIL5-694,A380_4821,Aileron gauche,8349,15.03135,4919
SYS2-288,E175_4749,Système hydraulique principal,10569,13.51435,9719
TRA19-488,A321_6216,Train d'atterrissage principal gauche,9230,16.774500000000014,5604
BOI22-384,B747_0620,Boîte noire (enregistreur de vol),12641,24.157149999999998,2702
GOU3-364,B757_2709,Gouvernail de direction,11803,18.613450000000004,6988
GOU3-554,E170_2644,Gouvernail de direction,14923,24.29145,7758
ORD12-439,B777_2343,Ordinateur de bord,10709,12.71535,5701
SYS7-546,A320_4603,Système de gestion de carburant,9788,14.3662,8590
TRA19-301,B767_6463,Train d'atterrissage principal gauche,14444,21.380600000000012,4984
DIS32-075,B737_6821,Dispositif d'atterrissage d'urgence (comme les toboggans),9839,19.02484999999999,8462
SIE26-215,E175_6535,Siège pilote,9300,20.665,3161
DIS15-633,CRJ700_6475,Dispositifs de levage (flaps),10882,21.5243,1070
SYS35-309,B767_3637,Système d'annonce publique,14885,23.567750000000014,4876
SIE27-357,A320_2211,Siège copilote,10746,20.927899999999983,3161
GOU3-153,CRJ900_5255,Gouvernail de direction,8715,17.482249999999997,6615
EQU23-082,E175_0964,Équipement de navigation par satellite (GPS),13350,23.4425,9334
SYS14-590,CRJ700_0354,Système d'extinction d'incendie du moteur,13686,22.2089,5476
ECL30-392,A320_4466,Éclairage d'urgence,12141,20.472149999999996,6347
TRA20-424,None_5883,Train d'atterrissage principal droit,10912,21.4288,8381
DIS15-041,None_3415,Dispositifs de levage (flaps),8101,16.666149999999988,8598
DET29-429,None_5692,Détecteurs de fumée en cabine,14336,22.526399999999988,7294
TRA21-662,A320_6028,Train d'atterrissage avant,10467,19.29705000000001,8636
ECL30-101,E170_2490,Éclairage d'urgence,10108,13.8342,7784
SYS7-251,B757_6583,Système de gestion de carburant,9010,17.971500000000006,4863
ANT25-382,A330_3674,Antenne radar,11233,16.69795,3703
SYS9-560,B777_6834,Système anti-givre,12820,21.432999999999986,9573
AUT8-076,A321_0732,Autopilote,13984,22.98160000000001,6748
SYS33-162,None_6663,Système d'éclairage de cabine,9431,18.255650000000003,4112
AIL5-136,B767_0657,Aileron gauche,8766,13.5709,3932
SYS9-601,E170_5403,Système anti-givre,14063,19.622450000000004,5355
DIS32-689,B747_1933,Dispositif d'atterrissage d'urgence (comme les toboggans),10006,12.6269,1780
BOI22-033,None_5980,Boîte noire (enregistreur de vol),12520,14.818,4658
TRA20-577,A330_5932,Train d'atterrissage principal droit,13743,23.34445,9964
SYS31-698,None_5692,Système de conditionnement d'air,9548,17.0602,3283
SYS7-177,A380_4355,Système de gestion de carburant,13920,22.94800000000002,3978
SYS31-121,B767_3223,Système de conditionnement d'air,8919,10.656849999999995,5097
TRA20-281,None_2077,Train d'atterrissage principal droit,10164,18.098599999999998,7316
ORD12-142,A321_0987,Ordinateur de bord,12957,23.380549999999985,6320
AIL5-470,B747_2406,Aileron gauche,14186,22.5739,3024
SYS31-193,B747_0302,Système de conditionnement d'air,11520,15.608000000000004,2002
VOL17-272,None_1554,Volet de bord de fuite gauche,9351,11.19365,8472
SYS31-650,A350_5005,Système de conditionnement d'air,13377,16.04355000000001,9137
SIE26-264,CRJ900_6200,Siège pilote,14186,25.843899999999987,9976
ORD12-427,B757_3072,Ordinateur de bord,10496,20.150399999999998,9939
SYS36-394,A320_2772,Système de divertissement en vol,8645,19.04175,1689
SYS31-615,A380_4355,Système de conditionnement d'air,8830,13.414499999999995,4282
CAP39-635,None_1084,Capteurs de vitesse du vent,14755,22.528249999999982,2476
EMP4-537,B737_2293,Empennage horizontal,9517,18.564550000000008,2779
CAM38-612,None_5980,Caméra de surveillance externe,12692,15.9258,5450
SIE26-017,A330_5932,Siège pilote,13063,22.60245,4748
SYS7-135,B757_1013,Système de gestion de carburant,12114,21.091099999999987,6282
SYS31-056,B747_0910,Système de conditionnement d'air,8136,14.246400000000001,8971
TRA20-131,A321_2784,Train d'atterrissage principal droit,11179,21.01585,2939
SYS37-498,CRJ900_5737,Système d'éclairage de piste,12670,23.540500000000016,3204
TRA19-116,E170_1621,Train d'atterrissage principal gauche,8222,14.635299999999999,2662
AUT8-541,A321_3449,Autopilote,9487,19.17005000000001,4273
SYS24-214,E170_5314,Système de communication radio,13139,22.549849999999985,3315
SYS33-027,CRJ900_5158,Système d'éclairage de cabine,8275,10.506250000000005,7955
GEN13-592,B767_0601,Générateur électrique,11551,16.283650000000005,2986
REA0-020,A320_0039,Réacteur gauche,12790,21.958500000000015,6043
SPO16-466,B737_1878,Spoilers,8994,15.4431,7905
ORD12-491,A320_4466,Ordinateur de bord,14758,20.5017,3350
SYS2-678,B747_0175,Système hydraulique principal,10336,18.3764,1368
POR34-051,CRJ900_5525,Porte cargo,62398,73.70770000000002,8586
ANT25-172,B767_1623,Antenne radar,12430,22.514500000000012,8037
SYS28-637,B737_1878,Systèmes d'oxygène d'urgence pour les passagers,10425,17.21875,8991
GOU3-537,None_1237,Gouvernail de direction,9754,20.7671,1274
SYS14-234,B757_1707,Système d'extinction d'incendie du moteur,10390,19.70850000000001,6822
SYS37-681,CRJ900_0468,Système d'éclairage de piste,9419,20.461849999999984,8994
VOL17-229,B767_0601,Volet de bord de fuite gauche,13558,19.911699999999993,9908
GOU3-373,A350_3017,Gouvernail de direction,13702,24.38729999999997,6077
EMP4-234,B767_1128,Empennage horizontal,14598,21.1677,5553
TRA19-698,E175_0440,Train d'atterrissage principal gauche,14585,26.66275,4159
SYS31-015,A340_3881,Système de conditionnement d'air,13306,18.741899999999998,8888
SYS24-664,E175_1081,Système de communication radio,8863,16.462449999999997,3200
POR34-695,A380_5479,Porte cargo,14808,26.269200000000016,2995
REA1-607,B757_1707,Réacteur droit,12242,23.94830000000002,7098
POR34-627,B767_3637,Porte cargo,14119,24.806850000000026,8362
TRA21-429,CRJ900_5773,Train d'atterrissage avant,9784,14.181600000000005,5058
RAD11-670,B737_6105,Radar météorologique,10308,15.714199999999996,9000
SYS24-390,E175_6229,Système de communication radio,13977,20.24355,7726
CAM38-562,A380_4821,Caméra de surveillance externe,8250,18.47750000000001,6127
AIL5-485,A340_3082,Aileron gauche,11717,27.144550000000017,1272
SIE27-545,CRJ700_4473,Siège copilote,8282,11.094299999999999,4272
SYS7-155,CRJ700_1377,Système de gestion de carburant,13967,18.82205,9969
AIL6-448,A320_2772,Aileron droit,8072,13.542800000000005,4281
SYS24-519,CRJ900_6725,Système de communication radio,10323,19.06145,6605
SYS28-152,B747_1559,Systèmes d'oxygène d'urgence pour les passagers,9452,20.7898,8239
GOU3-193,A330_3674,Gouvernail de direction,9609,18.29035,4308
SYS36-100,A380_4959,Système de divertissement en vol,14724,23.3926,2123
RAD11-009,E175_5780,Radar météorologique,13654,25.4121,2338
SIE26-008,A350_3017,Siège pilote,13351,17.933649999999997,8754
SYS31-179,A321_4895,Système de conditionnement d'air,8094,12.7781,2632
RAD11-289,B767_3223,Radar météorologique,9439,14.264849999999996,4699
SYS36-216,B767_0317,Système de divertissement en vol,8708,17.914200000000005,9718
DIS32-135,A330_2342,Dispositif d'atterrissage d'urgence (comme les toboggans),9817,15.06955,2635
SPO16-139,A380_3051,Spoilers,11835,22.070250000000012,6609
SYS7-231,B747_0910,Système de gestion de carburant,11612,16.303800000000003,6732
REA0-510,B757_1659,Réacteur gauche,9444,16.180600000000013,9916
AIL6-171,B767_1623,Aileron droit,13617,21.79954999999999,2369
ANT25-654,A380_4355,Antenne radar,13276,23.497399999999978,8702
BOI22-685,A380_2873,Boîte noire (enregistreur de vol),13683,25.195449999999997,2042
SYS2-259,E170_2173,Système hydraulique principal,11301,16.00615,1357
ECL30-109,None_2077,Éclairage d'urgence,11470,15.430499999999995,9645
ECL30-612,E170_2490,Éclairage d'urgence,14461,26.550150000000002,6611
SIE26-621,E170_4894,Siège pilote,9855,11.933250000000005,3360
GOU3-534,None_5391,Gouvernail de direction,9379,18.83585,1735
SYS14-362,B757_2709,Système d'extinction d'incendie du moteur,12075,16.64625,9014
TRA21-125,B777_6834,Train d'atterrissage avant,8313,10.319949999999999,3105
SPO16-618,B757_1013,Spoilers,11142,19.23329999999999,5655
SYS35-176,A320_6364,Système d'annonce publique,14978,23.754700000000003,6856
SYS28-418,E175_4487,Systèmes d'oxygène d'urgence pour les passagers,8023,13.846449999999999,2760
ORD12-611,A320_6954,Ordinateur de bord,8386,14.123899999999995,1163
GOU3-270,A320_6028,Gouvernail de direction,14779,26.18585,1001
SYS37-317,None_2407,Système d'éclairage de piste,13105,24.38074999999998,5825
SYS24-139,E175_2393,Système de communication radio,8152,14.464800000000004,5227
SYS7-093,B777_1363,Système de gestion de carburant,12171,14.06665,8161
SYS28-324,E175_0488,Systèmes d'oxygène d'urgence pour les passagers,8763,11.717450000000005,7074
ORD12-018,CRJ900_4486,Ordinateur de bord,14856,24.7844,3670
VOL17-374,B767_2187,Volet de bord de fuite gauche,8562,19.226300000000005,6295
AUT8-246,B767_2487,Autopilote,9035,18.560250000000003,7472
SYS35-098,None_1237,Système d'annonce publique,10077,13.368549999999999,7730
BOI22-531,E170_2644,Boîte noire (enregistreur de vol),14839,25.644849999999984,3165
CAP39-269,A350_5005,Capteurs de vitesse du vent,10173,18.498949999999997,7230
SIE27-586,None_5579,Siège copilote,12844,24.470599999999987,5862
GEN13-548,A320_2447,Générateur électrique,8031,14.005650000000005,6568
POR34-238,None_2077,Porte cargo,13788,23.69619999999998,2435
SYS35-536,A340_0646,Système d'annonce publique,12366,21.11090000000002,2568
SYS28-292,CRJ900_0468,Systèmes d'oxygène d'urgence pour les passagers,14385,19.682749999999995,1188
SYS14-351,A380_3051,Système d'extinction d'incendie du moteur,8975,19.53125,6332
POR34-174,B767_2487,Porte cargo,11195,15.144249999999998,8267
REA0-187,E170_5474,Réacteur gauche,10626,17.339900000000004,9116
SYS9-122,A321_2784,Système anti-givre,14810,23.291500000000013,4090
SIE26-001,B767_2723,Siège pilote,10482,14.014300000000002,4353
SYS24-100,CRJ900_1184,Système de communication radio,12576,15.0824,2540
DIS32-055,B757_0284,Dispositif d'atterrissage d'urgence (comme les toboggans),13221,20.49415,5519
EMP4-174,A320_3805,Empennage horizontal,9474,18.165100000000006,8917
SIE27-369,B737_0608,Siège copilote,9594,15.593099999999996,1562
SYS24-022,E175_5323,Système de communication radio,14239,17.864850000000004,2192
ANT25-310,A320_4881,Antenne radar,14937,25.427549999999982,3597
SYS35-250,A330_2838,Système d'annonce publique,11111,16.187649999999998,9371
DIS15-543,A380_4821,Dispositifs de levage (flaps),13933,18.362949999999998,1126
POR34-305,B747_4876,Porte cargo,11762,18.276300000000003,9274
SYS24-151,CRJ700_5378,Système de communication radio,10339,14.909849999999995,8214
CAP39-004,None_5883,Capteurs de vitesse du vent,13782,18.0493,1190
POR34-342,B747_2822,Porte cargo,14019,24.631849999999982,5140
RAD11-138,None_5883,Radar météorologique,13951,24.57365,1853
SYS28-684,None_0118,Systèmes d'oxygène d'urgence pour les passagers,14435,22.59025,5912
SPO16-418,A350_5401,Spoilers,14490,19.023500000000006,3741
SYS7-629,A330_2342,Système de gestion de carburant,9308,17.9942,2871
SYS37-149,E175_4832,Système d'éclairage de piste,12446,24.022899999999982,7434
SYS33-136,A350_3715,Système d'éclairage de cabine,13320,20.298000000000005,3065
SYS35-360,CRJ900_0486,Système d'annonce publique,8633,12.32795,4217
ANT25-155,A380_2873,Antenne radar,9525,18.98375,1908
SYS35-611,E170_1341,Système d'annonce publique,9277,13.358550000000006,3242
SYS9-097,None_3415,Système anti-givre,11735,15.345250000000004,9300
ECL30-494,None_2407,Éclairage d'urgence,9246,10.872900000000005,4937
CAP39-627,CRJ900_1184,Capteurs de vitesse du vent,12585,23.362750000000005,2845
REA0-450,A340_1943,Réacteur gauche,8202,13.1623,1563
SPO16-060,B747_2406,Spoilers,8086,15.648899999999987,4429
DIS15-044,E170_4304,Dispositifs de levage (flaps),14461,24.280150000000013,2189
AIL5-253,A330_5384,Aileron gauche,12085,19.967750000000006,3139
TRA21-549,B737_0608,Train d'atterrissage avant,12072,21.0328,5006
TRA21-140,B767_1817,Train d'atterrissage avant,10357,19.850549999999988,1932
AIL5-463,None_0118,Aileron gauche,8223,15.996449999999996,6761
SIE26-238,B757_1013,Siège pilote,9687,19.91004999999999,5204
AUT8-212,A380_4355,Autopilote,14619,17.63185,5295
ANT25-056,E175_4749,Antenne radar,9833,16.787950000000002,3807
DIS15-129,A320_6028,Dispositifs de levage (flaps),9340,19.960999999999988,5396
AUT8-199,A340_1943,Autopilote,9786,16.163899999999998,2077
RAD11-494,B777_1037,Radar météorologique,13497,23.571549999999988,1069
SYS33-498,E170_1621,Système d'éclairage de cabine,14451,17.298650000000002,4240
CAM38-411,CRJ700_5389,Caméra de surveillance externe,12554,22.61710000000002,4592
SYS2-312,B777_3467,Système hydraulique principal,10149,14.391350000000005,3043
SYS14-520,A321_4814,Système d'extinction d'incendie du moteur,11064,22.203600000000005,3882
SPO16-220,A320_2211,Spoilers,12782,23.1193,2886
SYS7-004,A330_5932,Système de gestion de carburant,13139,21.40984999999998,5743
