ref_compo,aero,desc,lifespan,taux_usure_actuel,cout_composant
C513,B777_5293,Système d'éclairage de piste,8382,0.0,7731
C400,A350_4328,Volet de bord de fuite gauche,9232,26.23,6759
C399,E170_5464,Volet de bord de fuite gauche,9608,28.81,4999
C301,B747_3977,Gouvernail de direction,14273,11.97,9943
C254,A340_3329,Générateur électrique,11194,49.38,9554
C624,B777_2375,Empennage horizontal,14111,32.27,9808
C124,A340_6797,Détecteurs de fumée en cabine,14151,178.13,8905
C070,CRJ700_6981,Générateur électrique,13061,8.95,1214
C296,A380_1724,Autopilote,13472,23.13,2948
C027,A320_1501,,14573,17.11,4815
C625,B747_0166,Système anti-givre,8500,72.68,6676
C697,B757_3066,Caméra de surveillance externe,9458,10.37,7316
C384,A340_1726,Système d'extinction d'incendie du moteur,9901,21.1,1515
C056,B747_1574,Système d'annonce publique,8123,36.89,5120
C057,CRJ700_4243,Caméra de surveillance externe,14406,23.2,5837
C281,E170_4046,Autopilote,14085,72.86,6302
C245,A320_4610,Ordinateur de bord,14207,59.9,1125
C291,A350_3551,,10770,65.46,5540
C676,E170_0702,Autopilote,13029,0.0,9810
C449,A340_2060,Volet de bord de fuite gauche,14144,19.62,6606
C118,None_6560,Porte cargo,14757,28.41,4920
C329,B757_2191,Boîte noire (enregistreur de vol),14985,40.56,8505
C696,E170_4665,Radar météorologique,10694,0.0,8931
C038,B737_6517,Siège copilote,9676,64.72,7629
C355,A340_3352,Antenne radar,12884,63.3,3354
C317,A380_1712,Système d'annonce publique,12693,0.0,3034
C547,B747_0166,,11581,24.48,8972
C514,A340_6183,Antenne radar,12759,68.37,8575
C186,B747_4921,Système hydraulique principal,8555,49.98,5924
C472,B737_6326,Système de divertissement en vol,12082,0.0,1774
C389,A330_3084,Système anti-givre,12959,44.67,7350
C261,E170_2939,Ordinateur de bord,13116,42.48,6026
C108,A340_1063,Système de communication radio,12754,66.17,3659
C306,B767_3557,Gouvernail de direction,12402,7.11,8183
C054,CRJ700_6057,Volet de bord de fuite gauche,9869,67.02,1448
C665,B767_5045,Système de communication radio,11552,70.21,2059
C003,B767_5911,Système de divertissement en vol,12766,0.0,1688
C079,B767_2259,Capteurs de vitesse du vent,9854,16.87,9974
C521,None_6560,Radar météorologique,14156,14.14,9561
C431,B737_6867,Systèmes d'oxygène d'urgence pour les passagers,9993,49.01,7517
C417,A340_1063,Volet de bord de fuite droit,12085,18.02,2184
C411,None_1211,Système d'alerte de proximité au sol (GPWS),10962,27.33,7731
C588,CRJ700_5558,,10617,16.76,6726
C463,E175_4812,Système de divertissement en vol,14578,32.7,8070
C047,A320_3107,Empennage horizontal,8086,0.0,4546
C138,A340_6797,Porte cargo,8498,20.42,2900
C473,B757_3104,Système de gestion de carburant,11063,50.21,2854
C588,B737_2786,Ordinateur de bord,13311,54.74,2133
C183,E175_0657,,8419,64.83,5928
C657,A340_2380,Aileron droit,8588,38.02,5697
C676,A330_3084,,9120,65.66,4661
C053,None_0192,Système d'extinction d'incendie du moteur,10095,2.06,9637
C054,E170_3104,Dispositif d'atterrissage d'urgence (comme les toboggans),13487,0.0,4776
C502,B757_4838,Éclairage d'urgence,10463,72.7,7080
C494,A340_2380,Système d'annonce publique,11751,21.71,4385
C570,E170_1081,Radar météorologique,8579,43.84,4497
C635,CRJ700_0526,Système de communication radio,8435,64.48,9065
C178,B747_2795,Spoilers,12206,49.55,6456
C373,B757_2191,Volet de bord de fuite droit,8331,23.43,1561
C018,B747_1574,Système d'éclairage de piste,8634,27.62,4119
C202,A320_1300,Train d'atterrissage principal droit,11901,8.73,1913
C022,A330_1498,Porte cargo,12342,61.7,6984
C347,A340_1063,Radar météorologique,11228,50.98,4363
C524,CRJ700_3452,Radar météorologique,8553,18.41,4435
C244,B767_5045,Empennage horizontal,12952,60.63,4496
C271,A320_2348,Système de communication radio,12572,18.07,7590
C671,A320_4610,Dispositifs de levage (flaps),14656,27.44,5975
C439,B767_3681,Système anti-givre,8017,46.02,6209
C445,A350_4498,Antenne radar,9572,24.09,4968
C360,E170_4665,Train d'atterrissage principal droit,13191,0.0,2143
C094,A350_1201,Dispositifs de levage (flaps),12847,74.04,7667
C685,A380_6627,Caméra de surveillance externe,13677,34.98,7438
C135,B777_5293,Siège copilote,10439,0.0,3605
C428,A350_4845,Radar météorologique,13452,21.49,5313
C133,B747_4921,Dispositifs de levage (flaps),11650,43.04,8194
C666,E170_5464,Réacteur gauche,10880,35.72,7350
C283,None_3169,Dispositif d'atterrissage d'urgence (comme les toboggans),12009,57.56,1763
C204,A320_3107,Boîte noire (enregistreur de vol),9366,0.0,2835
C585,A350_3496,Système d'alerte de proximité au sol (GPWS),12642,34.91,8865
C151,A340_6107,,13277,27.23,2285
C444,A350_4306,Antenne radar,13532,72.83,9407
C037,A350_0026,,13466,45.24,7559
C637,A321_6202,Système de conditionnement d'air,10380,34.04,9302
C668,A340_2580,Caméra de surveillance externe,12493,60.58,9258
C332,CRJ900_6156,,9193,0.0,7428
C237,A340_6797,Train d'atterrissage principal gauche,10436,61.43,4214
C469,E170_2171,Train d'atterrissage avant,11471,145.83,1935
C470,None_4147,Éclairage d'urgence,14284,72.12,3664
C512,None_3668,Spoilers,9990,51.94,4402
C578,B747_2347,Dispositifs de levage (flaps),13036,26.07,9385
C556,E170_4046,Train d'atterrissage principal droit,11605,23.26,2058
C486,B767_2259,Train d'atterrissage avant,8390,54.34,4755
C075,A330_1498,Système d'éclairage de cabine,9646,53.41,7690
C616,A321_5096,Radar météorologique,14915,89.29,2752
C249,B767_3162,Détecteurs de fumée en cabine,13125,0.0,8343
C018,A340_1063,Système de communication radio,13330,31.88,6893
C310,CRJ700_6981,Générateur électrique,11336,339.86,4035
C075,B737_6510,Caméra de surveillance externe,8488,9.72,1963
C646,B757_4046,Système d'extinction d'incendie du moteur,10989,9.18,4017
C185,None_4133,Volet de bord de fuite gauche,10336,10.49,3601
C308,B757_3104,Gouvernail de direction,12397,0.31,3571
C131,A340_5040,Autopilote,12531,47.01,8468
C593,B747_1574,Système anti-givre,9778,18.22,9727
C315,B767_6488,Autopilote,12293,5.0,2392
C680,B777_0171,Boîte noire (enregistreur de vol),10866,37.83,6564
C441,E175_6272,Système de communication radio,11878,0.0,4819
C471,B747_4403,Système d'extinction d'incendie du moteur,9174,0.0,6469
C470,B777_2375,Éclairage d'urgence,13230,32.8,9388
C568,B777_5067,Capteurs de vitesse du vent,13394,55.42,6647
C220,A340_6797,,9957,60.63,9953
C276,A340_1625,Empennage horizontal,13840,42.44,8781
C318,B767_6488,,8983,20.65,3934
C109,A350_3016,Système d'extinction d'incendie du moteur,14682,13.87,1438
C693,CRJ700_1712,,9982,5.41,4719
C258,B737_3944,Dispositifs de levage (flaps),8412,0.0,2194
C457,E170_3104,Équipement de navigation par satellite (GPS),8773,0.0,1194
C006,A320_2348,Autopilote,12775,52.04,6391
C342,B777_0663,Réacteur droit,12176,10.63,3188
C077,A350_3371,Empennage horizontal,9601,71.0,5967
C646,B777_2375,Siège copilote,9153,13.93,2508
C102,B737_2404,Système d'éclairage de cabine,11612,40.4,2038
C662,A350_0001,Aileron gauche,12260,0.0,6310
C583,B747_1574,Système d'alerte de proximité au sol (GPWS),14564,28.88,3878
C109,None_6652,Capteurs de vitesse du vent,13521,17.57,2139
C413,B777_2261,Gouvernail de direction,12444,40.17,6505
C543,CRJ700_6130,Train d'atterrissage avant,8492,11.09,7589
C379,None_4147,Siège copilote,9461,43.65,6200
C437,A340_3329,Système d'éclairage de piste,10508,19.11,7617
C374,None_5783,Aileron droit,14656,20.37,5657
C410,B737_6326,Gouvernail de direction,11263,0.0,8198
C594,B777_0663,Système hydraulique principal,8132,71.14,9687
C053,B747_3977,Antenne radar,13961,68.54,9104
C553,E175_6272,Capteurs de vitesse du vent,8539,0.0,2987
C125,B757_0314,Système de communication radio,14102,0.0,5656
C172,A320_3107,Porte cargo,11205,0.0,4657
C560,E175_0103,Volet de bord de fuite droit,13886,23.82,3392
C114,A330_1256,Équipement de navigation par satellite (GPS),12679,48.21,6028
C539,E170_6036,Système de gestion de carburant,12953,10.14,3096
C312,A380_6627,Éclairage d'urgence,13074,53.14,2012
C295,A350_2985,Réacteur gauche,11422,17.68,5022
C492,E170_5464,Système d'éclairage de piste,10275,6.05,7174
C043,B767_4104,Train d'atterrissage principal droit,13951,49.67,9264
C136,E170_2939,Réacteur gauche,11659,28.84,5955
C157,B737_6638,Système de communication radio,14743,56.47,1009
C020,B737_2786,Système d'extinction d'incendie du moteur,11969,49.4,5174
C642,B737_6518,Siège pilote,10887,24.31,1937
C258,A340_1063,Système d'éclairage de cabine,11863,73.05,6540
C214,B747_2347,Train d'atterrissage principal gauche,9073,60.01,2620
C340,None_5119,Autopilote,13088,72.71,2965
C263,CRJ700_6981,,13096,26.88,7655
C102,None_0407,Système hydraulique principal,13832,8.43,9383
C316,None_4147,Aileron gauche,44624,30.09,3573
C150,A380_1802,Autopilote,8998,0.0,3270
C305,A330_2352,Siège copilote,12567,35.13,4579
C566,B757_1459,Dispositif d'atterrissage d'urgence (comme les toboggans),12440,13.29,1339
C578,E170_2200,Système de communication radio,12100,62.26,3512
C247,B737_0682,Siège copilote,12235,59.73,5516
C210,E170_2901,Antenne radar,8610,25.1,2945
C176,B747_2795,Système de conditionnement d'air,11581,57.69,9178
C286,A340_5040,Réacteur droit,12447,49.2,3381
C554,B767_3162,Système d'éclairage de cabine,10861,0.0,1047
C614,A350_5769,Générateur électrique,9032,23.43,5833
C106,A320_1300,Ordinateur de bord,9210,41.83,1698
C260,B767_2259,Train d'atterrissage avant,12534,74.11,8960
C316,A350_0026,Équipement de navigation par satellite (GPS),8122,19.22,9360
C018,B757_6748,Siège pilote,10606,0.0,1566
C457,B747_2347,Empennage horizontal,11736,26.53,9210
C149,A330_4600,Siège pilote,13849,54.5,4347
C034,B747_5628,,47293,11.9,5960
C584,None_5119,Train d'atterrissage principal gauche,8497,36.31,8640
C007,A350_5715,Ordinateur de bord,13010,0.0,9651
C023,A330_4600,Système anti-givre,14536,26.96,6823
C573,B757_1459,Générateur électrique,47130,33.63,7294
C459,None_4237,Aileron gauche,9939,11.5,5519
C319,A320_5619,,12685,0.0,6754
C185,None_5783,,12875,26.48,2093
C632,A350_5568,Siège pilote,9826,13.32,1321
C146,A340_6810,Détecteurs de fumée en cabine,14507,20.85,7265
C140,B767_3162,,9659,0.0,3059
C668,CRJ900_2743,Système d'annonce publique,8576,47.33,3110
C129,A340_5040,,12525,31.98,3988
C586,B767_2259,Système de communication radio,14466,51.35,3192
C085,A380_3169,Système d'éclairage de piste,14920,255.21,7936
C647,CRJ700_6766,,14572,0.0,7975
C342,A320_6319,Dispositifs de levage (flaps),10900,0.0,3670
C585,A330_2352,Boîte noire (enregistreur de vol),12843,69.55,8819
C614,B777_1811,Éclairage d'urgence,13263,40.06,4911
C334,A330_1586,Éclairage d'urgence,14602,50.5,7194
C142,A350_6742,Aileron gauche,13130,45.56,2832
C292,B747_4810,Système hydraulique principal,13294,58.78,4104
C112,A340_6810,Autopilote,8496,52.89,7582
C188,B767_5911,Générateur électrique,13692,0.0,5954
C637,B767_4309,Gouvernail de direction,13146,60.46,2597
C357,B767_2009,Caméra de surveillance externe,11305,0.0,8433
C083,A340_3329,Capteurs de vitesse du vent,12587,69.14,8227
C376,A321_5790,Autopilote,10663,26.46,4513
C576,B747_4952,,14429,0.0,2049
C467,B777_0052,Train d'atterrissage principal droit,14249,18.8,8702
C641,CRJ700_3452,Système d'éclairage de piste,13819,57.34,4254
C567,A340_5086,Générateur électrique,12931,0.0,3014
C496,A350_6742,Dispositif d'atterrissage d'urgence (comme les toboggans),8017,146.27,7854
C189,A320_2958,Systèmes d'oxygène d'urgence pour les passagers,13531,0.0,3559
C652,B747_2795,Système de communication radio,13106,63.76,2715
C397,A350_3496,Train d'atterrissage principal droit,12107,42.85,8096
C511,B757_3104,Système de communication radio,13992,61.09,4789
C315,B777_5293,Système de divertissement en vol,10801,0.0,3550
C320,B737_2786,Système de divertissement en vol,11061,52.86,2910
C389,CRJ900_2743,Radar météorologique,8899,29.98,1637
C257,A340_5040,Antenne radar,8257,9.97,3367
C171,B737_3647,Système d'éclairage de cabine,10839,59.81,9639
C344,A380_1724,Siège pilote,11362,70.6,1475
C668,B747_0434,Spoilers,12190,53.61,8119
C062,A340_1625,,11068,55.28,7524
C430,A350_4845,Système d'extinction d'incendie du moteur,14559,34.63,8103
C669,E175_0657,Train d'atterrissage avant,10062,26.03,6795
C444,A340_1231,Système anti-givre,8107,31.81,9419
C525,None_3169,Éclairage d'urgence,8576,57.26,8397
C076,E175_6406,Réacteur droit,8121,11.65,5327
C197,None_4133,Caméra de surveillance externe,9006,67.12,3393
C258,B757_3261,Système d'alerte de proximité au sol (GPWS),9177,44.9,4019
C204,A320_0930,Autopilote,9147,69.7,7482
C253,B757_1539,Spoilers,9407,0.0,3388
C545,CRJ700_6766,Équipement de navigation par satellite (GPS),9151,0.0,7316
C679,E170_2200,Dispositif d'atterrissage d'urgence (comme les toboggans),12118,28.36,8194
C631,A320_0930,Aileron gauche,12617,27.59,6674
C010,A320_0930,Éclairage d'urgence,10353,50.36,8451
C102,None_5783,Train d'atterrissage avant,11471,1.5,9735
C265,CRJ700_0526,Radar météorologique,13008,32.68,5179
C567,B777_2043,Spoilers,14340,11.2,4920
C264,B737_2404,Spoilers,10141,10.13,4825
C179,A321_6202,Système d'annonce publique,9120,36.87,4891
C664,CRJ700_6766,Réacteur gauche,12149,0.0,8195
C002,E175_0103,Système de conditionnement d'air,13665,0.99,8287
C446,A350_5354,Gouvernail de direction,10956,5.64,9554
C544,B757_1539,,8924,0.0,1275
C335,B767_5045,Train d'atterrissage principal gauche,12973,26.52,1176
C154,None_2072,Réacteur gauche,12679,0.0,3940
C059,B767_6125,Volet de bord de fuite gauche,8298,0.0,1416
C612,B737_2786,Réacteur gauche,10549,2.99,3937
C372,A320_5619,Empennage horizontal,10868,0.0,9250
C091,CRJ700_5262,Équipement de navigation par satellite (GPS),12454,0.0,7612
C129,B767_6488,Système de gestion de carburant,13466,67.73,4429
C540,B747_4921,Réacteur droit,13937,36.23,9796
C208,E175_0103,Système d'éclairage de piste,8625,22.92,6112
C161,A340_1625,Système de communication radio,13287,21.12,3960
C513,A350_3551,Système anti-givre,11850,35.27,5552
C406,B777_2653,,11130,56.02,2961
C179,E175_4812,Système hydraulique principal,11440,34.82,7960
C101,B747_3555,Dispositif d'atterrissage d'urgence (comme les toboggans),10133,29.11,5955
C135,B767_6125,,10774,0.0,7897
C661,A380_1724,Système hydraulique principal,13512,48.12,9664
C547,B747_0166,Train d'atterrissage principal droit,9272,36.19,2024
C010,B777_2435,Système d'alerte de proximité au sol (GPWS),12188,35.15,1655
C306,B767_2996,Système de gestion de carburant,8972,24.05,7361
C589,CRJ700_6766,Train d'atterrissage avant,14833,0.0,1694
C340,A350_0026,Réacteur gauche,13347,42.24,5787
C081,B757_3371,Détecteurs de fumée en cabine,8377,26.89,2605
C477,B747_5628,Ordinateur de bord,12601,27.84,3319
C309,A350_0001,Train d'atterrissage principal gauche,13578,0.0,8954
C287,B747_4403,Porte cargo,10674,0.0,6681
C232,B737_6867,Système de conditionnement d'air,12289,52.42,9539
C014,A320_1300,Volet de bord de fuite droit,13633,74.4,4731
C412,CRJ700_5262,Système d'alerte de proximité au sol (GPWS),13478,0.0,4662
C117,B777_2375,Volet de bord de fuite gauche,11037,1.02,6427
C600,A340_6797,Volet de bord de fuite gauche,10123,7.29,2276
C239,CRJ900_6156,Système d'éclairage de piste,8645,0.0,6339
C628,A350_4328,Antenne radar,12451,17.14,5545
C424,A330_4796,Train d'atterrissage avant,11448,7.67,9048
C126,A350_0174,Système d'alerte de proximité au sol (GPWS),10682,59.66,1502
C693,A340_3352,Système anti-givre,11152,45.11,8306
C368,E170_6036,Autopilote,8507,45.8,9874
C126,B747_0434,Système de communication radio,12988,42.03,4106
C700,None_1978,Système d'éclairage de cabine,13693,8.44,7778
C618,B737_6510,,11284,10.8,9740
C383,A340_3329,Système d'éclairage de cabine,11774,42.72,2468
C100,A320_0854,Système de gestion de carburant,9756,49.04,1959
C637,B777_0569,Éclairage d'urgence,12806,67.9,1025
C605,A330_6737,Système hydraulique principal,11951,0.0,2583
C136,E175_0657,Dispositif d'atterrissage d'urgence (comme les toboggans),10140,38.98,7394
C032,A350_5631,Détecteurs de fumée en cabine,12706,1.82,7514
C305,A350_5769,Siège copilote,9849,20.82,5473
C109,A340_1070,,14176,3.88,6772
C402,B767_4104,Train d'atterrissage principal droit,13136,24.51,6365
C560,B737_3944,Volet de bord de fuite droit,14575,0.0,4332
C185,B757_0314,Système d'éclairage de cabine,11677,0.0,3089
C017,A320_6319,Siège pilote,14825,0.0,6652
C215,B767_4309,Système anti-givre,71136,1.99,5424
C499,B757_4838,Boîte noire (enregistreur de vol),10526,62.78,5960
C406,B767_3681,Boîte noire (enregistreur de vol),12704,29.95,5791
C431,A380_6627,,12141,74.39,7576
C543,B767_3681,,13000,18.5,9629
C034,None_2072,Radar météorologique,13802,0.0,7714
C121,B737_3541,Système d'extinction d'incendie du moteur,12804,71.09,7349
C447,E170_0751,Porte cargo,8749,0.0,5357
C318,A320_2348,Aileron gauche,9979,1.3,3570
C631,A320_5316,Système hydraulique principal,11974,62.91,7589
C548,A380_5370,Système d'extinction d'incendie du moteur,13345,23.61,2402
C443,CRJ700_3824,Système de conditionnement d'air,8008,0.0,4464
C297,A350_5769,Système anti-givre,13133,39.42,4984
C323,CRJ700_6766,Systèmes d'oxygène d'urgence pour les passagers,10036,0.0,8628
C019,E170_3717,Système d'extinction d'incendie du moteur,9178,20.01,8403
C364,B747_3977,Système de gestion de carburant,14171,38.8,8997
C062,A380_1724,Équipement de navigation par satellite (GPS),13532,53.62,8186
C557,A330_0262,Système hydraulique principal,12580,16.0,2149
C302,A320_1300,Système anti-givre,14102,8.79,1493
C396,B767_0488,Aileron droit,14764,241.66,9929
C187,B767_2419,Volet de bord de fuite droit,11936,13.59,3861
C639,A380_5370,Système d'éclairage de piste,8585,41.02,6891
C113,E175_4812,Train d'atterrissage principal droit,12264,47.44,5005
C294,B757_6748,Système hydraulique principal,11795,0.0,4201
C493,None_6652,Aileron gauche,10773,5.22,5035
C644,CRJ700_6057,Volet de bord de fuite gauche,62058,48.36,2944
C213,B757_2030,Antenne radar,10083,71.94,2544
C428,B767_2419,Siège copilote,12895,43.95,4750
C077,B777_5303,Caméra de surveillance externe,8599,67.24,6532
C324,A350_2985,Antenne radar,12722,3.16,4737
C120,A330_2352,Système d'éclairage de piste,13492,29.05,1182
C507,B777_2261,Train d'atterrissage principal droit,11820,58.18,9411
C609,B747_3555,Train d'atterrissage avant,9845,74.19,3620
C439,B777_3643,,10709,5.68,8913
C300,E170_3104,Autopilote,12129,0.0,9608
C191,A350_3551,Système de conditionnement d'air,10929,27.37,2841
C557,None_0192,Système d'alerte de proximité au sol (GPWS),10652,25.73,7401
C112,CRJ700_5262,Spoilers,12999,0.0,2051
C117,B737_4676,Siège copilote,11943,7.99,3982
C304,A350_3551,Système de divertissement en vol,14277,167.3,3921
C136,E170_4711,Systèmes d'oxygène d'urgence pour les passagers,12752,0.69,3370
C513,B767_2009,,11222,0.0,7404
C047,B737_5695,Systèmes d'oxygène d'urgence pour les passagers,11037,0.0,7810
C319,None_4310,Système d'éclairage de piste,9504,8.16,9923
C155,B777_5067,Système de communication radio,13546,10.79,8426
C369,E175_5092,Système de divertissement en vol,13310,41.92,8602
C127,A350_5568,Système d'éclairage de piste,11604,37.87,6069
C661,None_5563,Porte cargo,11880,50.25,7465
C640,None_0122,Spoilers,8371,65.03,9329
C363,B757_3104,Train d'atterrissage principal droit,12198,50.46,3331
C636,A340_6183,Siège pilote,10031,52.82,2347
C321,CRJ700_1364,Train d'atterrissage avant,10464,0.0,2055
C348,CRJ700_3745,Système de conditionnement d'air,12835,34.05,8638
C658,A350_5832,Radar météorologique,13578,60.85,3160
C058,A320_3493,Aileron droit,11268,74.85,7395
C352,B767_0599,Système d'annonce publique,10864,0.0,4426
C669,A350_5568,Gouvernail de direction,13720,44.82,2028
C324,A350_0174,Réacteur gauche,14528,71.2,1105
C303,B767_6488,Système hydraulique principal,12569,46.72,1255
C595,B747_3555,Système de divertissement en vol,13665,23.71,9554
C475,A330_5802,Système anti-givre,14611,0.0,5816
C443,B747_4403,Train d'atterrissage principal gauche,9574,0.0,3712
C352,B737_3541,,9586,62.07,7342
C510,A320_1300,Système d'extinction d'incendie du moteur,13501,28.83,7830
C396,B737_3647,Siège copilote,11094,38.08,5114
C047,E175_0103,Volet de bord de fuite droit,8826,66.27,9413
C022,E175_6272,Siège pilote,8710,0.0,8236
C136,E170_2200,Train d'atterrissage principal droit,10393,48.48,2166
C428,B737_5695,Aileron droit,10350,0.0,7947
C093,A380_1724,Radar météorologique,8723,139.02,8909
C261,E175_6406,Aileron gauche,10197,67.52,3607
C091,A321_5414,,13821,71.39,9876
